Crime_ID,Crime_Type,Location,Latitude,Longitude,Date,Time,Severity,Police_Station
109,Traffic Violation,Pothanur,11.013494,76.976071,2024-02-14,16:41,1,Pothanur PS
110,Traffic Violation,Idikarai East,11.106269,77.02338,2022-12-12,14:06,2,Idikarai East PS
111,Forgery,Goundampalayam,10.997535,76.911394,2024-03-09,07:35,5,Goundampalayam PS
112,Fraud,Vellalore,10.936105,76.942301,2023-05-14,17:07,4,Vellalore PS
113,Bribery,Vadavalli East,11.115156,76.95782,2023-05-23,18:38,4,Vadavalli East PS
114,Bribery,Kovilpalayam,11.076261,76.853686,2023-04-20,07:25,1,Kovilpalayam PS
115,Trespassing,Race Course,10.981154,76.98023,2024-01-02,20:35,1,Race Course PS
116,Forgery,Udayampalayam,11.035401,77.09348,2023-07-13,22:49,4,Udayampalayam PS
117,Chain Snatching,Kalveerampalayam,10.907982,77.03757,2023-10-07,07:56,4,Kalveerampalayam PS
118,Burglary,Veerakeralam,11.079777,77.000229,2023-03-01,23:15,2,Veerakeralam PS
119,Forgery,Karamadai,11.128436,77.036697,2023-05-11,10:17,1,Karamadai PS
120,Theft,Ramanathapuram,11.075611,77.087889,2023-08-09,12:54,5,Ramanathapuram PS
121,Chain Snatching,Podanur,10.92885,76.917343,2022-02-14,07:47,4,Podanur PS
122,Pickpocketing,Kavundampalayam,11.024194,76.963383,2023-08-20,17:57,2,Kavundampalayam PS
123,Theft,Townhall,11.079653,77.044998,2022-06-15,19:25,5,Townhall PS
124,Pickpocketing,Keeranatham,11.093329,76.940505,2022-05-28,07:09,1,Keeranatham PS
125,Arson,Goundampalayam,11.069,77.018239,2022-09-28,02:05,4,Goundampalayam PS
126,Arson,Keeranatham,11.02308,77.009284,2022-12-05,01:01,3,Keeranatham PS
127,Robbery,Somanur,10.930424,76.867263,2022-01-07,13:10,5,Somanur PS
128,Arson,Thondamuthur,11.131368,76.871676,2022-02-25,21:18,1,Thondamuthur PS
129,Arson,Kuniamuthur,11.03506,77.017088,2024-02-27,12:37,4,Kuniamuthur PS
130,Trespassing,Veerakeralam,11.070901,77.003985,2023-04-30,01:22,1,Veerakeralam PS
131,Illegal Gambling,Velandipalayam,10.967995,76.997368,2022-10-27,00:47,3,Velandipalayam PS
132,Illegal Gambling,Mettupalayam,10.913446,76.898654,2022-11-05,12:25,2,Mettupalayam PS
133,Burglary,Kovilpalayam,10.990463,76.949693,2023-09-15,18:58,2,Kovilpalayam PS
134,Murder,Goundampalayam,11.073267,77.067661,2022-08-31,15:52,4,Goundampalayam PS
135,Bribery,Nehru Nagar,11.01621,76.894364,2023-09-23,11:03,5,Nehru Nagar PS
136,Assault,Ondipudur,10.949309,77.06678,2023-01-28,20:18,2,Ondipudur PS
137,Fraud,Idigarai,10.961622,77.070803,2023-03-01,04:38,1,Idigarai PS
138,Drug Abuse,Kalveerampalayam,11.083778,77.057751,2024-01-03,12:57,4,Kalveerampalayam PS
139,Drug Abuse,Ganapathy,11.014796,77.059592,2023-04-22,15:40,1,Ganapathy PS
140,Vandalism,Kavundampalayam,10.99499,77.083848,2024-01-01,11:22,1,Kavundampalayam PS
141,Fraud,Puliakulam,11.007678,76.898479,2022-10-29,05:42,5,Puliakulam PS
142,Burglary,RS Puram,10.912839,76.962933,2022-10-18,01:06,1,RS Puram PS
143,Robbery,RS Puram,10.986777,77.093906,2023-05-29,12:38,2,RS Puram PS
144,Sexual Harassment,Race Course,11.079274,76.978654,2022-10-12,01:34,1,Race Course PS
145,Robbery,Pollachi,11.03316,76.94238,2022-03-03,03:17,3,Pollachi PS
146,Chain Snatching,Mettupalayam,10.928552,77.043563,2024-02-22,23:08,2,Mettupalayam PS
147,Traffic Violation,Pollachi,11.137391,77.065791,2022-03-30,16:58,5,Pollachi PS
148,Arson,Peelamedu Pudur,11.110564,76.920519,2022-12-14,15:52,5,Peelamedu Pudur PS
149,Sexual Harassment,Periyanaickenpalayam,11.10895,76.974516,2023-04-29,07:44,5,Periyanaickenpalayam PS
150,Murder,Sulur,11.130044,76.952869,2023-01-11,00:46,5,Sulur PS
151,Bribery,Kovilpalayam,11.033452,76.866284,2023-02-05,13:41,2,Kovilpalayam PS
152,Illegal Gambling,Mathampalayam,10.977577,77.07589,2024-01-19,22:44,4,Mathampalayam PS
153,Cyber Crime,Kavundampalayam,11.130413,77.09757,2023-12-01,03:00,3,Kavundampalayam PS
154,Trespassing,Saravanampatti North,11.001298,77.045141,2022-05-13,07:50,1,Saravanampatti North PS
155,Sexual Harassment,Podanur,11.10869,77.07724,2023-05-05,10:30,3,Podanur PS
156,Fraud,Vadavalli East,11.148121,76.963763,2022-11-02,14:07,3,Vadavalli East PS
157,Chain Snatching,Gandhipuram,10.992855,76.892891,2023-01-19,07:55,4,Gandhipuram PS
158,Bribery,Kovaipudur,11.037009,76.997045,2022-06-01,21:22,4,Kovaipudur PS
159,Traffic Violation,Othakalmandapam,11.017369,76.992764,2023-08-12,10:44,4,Othakalmandapam PS
160,Theft,Kunniyamuthur,11.022575,77.047037,2023-07-22,20:25,1,Kunniyamuthur PS
161,Domestic Violence,Sitra,11.028248,77.001292,2023-06-07,03:43,3,Sitra PS
162,Illegal Gambling,Idigarai,10.94138,77.009033,2023-03-30,07:43,4,Idigarai PS
163,Cyber Crime,Kavundampalayam South,11.094031,76.962525,2022-06-11,16:40,5,Kavundampalayam South PS
164,Kidnapping,Chinniampalayam,11.124387,76.882164,2023-12-04,22:30,2,Chinniampalayam PS
165,Vandalism,Somanur,11.106449,77.028646,2022-01-10,12:49,4,Somanur PS
166,Sexual Harassment,Ondipudur,11.128289,77.076318,2022-05-10,00:39,4,Ondipudur PS
167,Burglary,Thondamuthur,11.142307,77.099132,2023-12-01,04:49,2,Thondamuthur PS
168,Chain Snatching,Mettupalayam,10.976276,76.955963,2023-03-26,03:22,2,Mettupalayam PS
169,Cyber Crime,Kunniyamuthur,11.13144,77.010067,2023-07-24,01:42,3,Kunniyamuthur PS
170,Traffic Violation,Kuniamuthur,11.061868,76.988357,2024-02-28,13:23,3,Kuniamuthur PS
171,Robbery,Mathampalayam,10.984974,77.043236,2022-08-24,17:16,1,Mathampalayam PS
172,Murder,Karamadai,10.999707,77.038171,2023-06-30,05:11,1,Karamadai PS
173,Robbery,Idikarai East,11.021866,76.991595,2022-05-24,12:25,2,Idikarai East PS
174,Fraud,Singanallur East,11.097394,76.875069,2022-12-28,13:34,5,Singanallur East PS
175,Bribery,Townhall,11.034354,77.047433,2022-12-17,00:24,3,Townhall PS
176,Chain Snatching,Pollachi,10.98538,76.864981,2023-08-21,00:21,5,Pollachi PS
177,Kidnapping,Ondiputhur,10.969856,76.979134,2023-02-13,23:33,4,Ondiputhur PS
178,Illegal Gambling,RS Puram,11.015584,76.965957,2022-05-20,01:17,2,RS Puram PS
179,Cyber Crime,Kalveerampalayam,10.969623,76.978812,2023-02-22,12:21,4,Kalveerampalayam PS
180,Cyber Crime,Sowripalayam,11.091792,77.045132,2023-08-01,02:13,2,Sowripalayam PS
181,Sexual Harassment,Cheran Ma Nagar,11.026932,76.935147,2024-01-29,06:50,2,Cheran Ma Nagar PS
182,Arson,Gandhipuram,10.971208,76.980299,2023-10-02,16:47,1,Gandhipuram PS
183,Chain Snatching,Ganapathy,11.021062,76.993233,2023-07-07,12:31,2,Ganapathy PS
184,Pickpocketing,Ondipudur,10.906579,77.089958,2023-04-01,07:55,5,Ondipudur PS
185,Drug Abuse,Vadavalli,10.933469,76.978595,2023-01-04,08:45,3,Vadavalli PS
186,Chain Snatching,Kalapatti,10.9328,77.013255,2023-10-28,07:17,4,Kalapatti PS
187,Robbery,Saibaba Colony,10.907457,76.944212,2022-12-27,08:16,1,Saibaba Colony PS
188,Pickpocketing,Sowripalayam,11.005385,76.99119,2022-11-23,09:23,3,Sowripalayam PS
189,Robbery,Goundampalayam,11.138918,76.941274,2023-04-03,18:49,2,Goundampalayam PS
190,Forgery,Ondipudur,10.988895,76.867335,2024-03-01,18:32,5,Ondipudur PS
191,Arson,Ukkadam,10.956479,77.009655,2022-10-03,09:02,2,Ukkadam PS
192,Vandalism,Annur,11.13649,76.907146,2023-04-11,14:50,2,Annur PS
193,Vandalism,Sitra,10.978415,76.877148,2022-07-08,15:55,2,Sitra PS
194,Sexual Harassment,Sowripalayam,11.093834,76.968729,2022-11-15,02:28,5,Sowripalayam PS
195,Assault,Karumathampatti,10.927521,76.974766,2023-09-26,00:52,1,Karumathampatti PS
196,Theft,Kavundampalayam South,11.016667,77.073954,2022-05-16,09:50,1,Kavundampalayam South PS
197,Vandalism,Sundakkamuthur,10.994847,76.947214,2022-11-27,23:09,2,Sundakkamuthur PS
198,Sexual Harassment,Othakalmandapam,11.080041,76.907263,2022-01-02,00:51,2,Othakalmandapam PS
199,Bribery,Madukkarai,10.97622,76.913988,2023-02-12,00:53,1,Madukkarai PS
200,Kidnapping,Mathampalayam,11.124444,76.930269,2023-11-25,19:56,2,Mathampalayam PS
201,Fraud,Thondamuthur,10.971102,76.91453,2022-11-01,02:58,1,Thondamuthur PS
202,Kidnapping,Udayampalayam,10.945268,76.867479,2022-04-25,03:14,4,Udayampalayam PS
203,Assault,Ukkadam,10.908618,76.987534,2023-03-22,19:32,5,Ukkadam PS
204,Forgery,Idikarai East,11.128078,76.862873,2022-02-14,15:26,3,Idikarai East PS
205,Chain Snatching,Podanur,10.994465,77.061284,2022-09-08,01:54,5,Podanur PS
206,Kidnapping,Kovaipudur,11.064968,77.05149,2022-04-07,00:07,3,Kovaipudur PS
207,Kidnapping,Nehru Nagar,11.069642,76.888826,2022-07-28,17:07,1,Nehru Nagar PS
208,Theft,Vilankurichi,11.095788,76.860397,2022-11-14,05:44,5,Vilankurichi PS
209,Illegal Gambling,Kavundampalayam South,11.059094,77.025617,2023-12-16,23:22,1,Kavundampalayam South PS
210,Drug Abuse,Saibaba Colony,10.924583,76.989584,2023-11-16,10:13,2,Saibaba Colony PS
211,Arson,Ondiputhur,10.974218,77.048516,2023-04-14,20:29,5,Ondiputhur PS
212,Pickpocketing,Saravanampatti North,10.909111,77.0705,2022-09-02,08:46,1,Saravanampatti North PS
213,Forgery,Singanallur,11.051041,77.033952,2022-02-21,19:43,3,Singanallur PS
214,Pickpocketing,Mathampalayam,11.102347,77.061763,2022-10-12,22:18,4,Mathampalayam PS
215,Kidnapping,Udayampalayam,11.145728,77.031674,2022-04-19,17:17,1,Udayampalayam PS
216,Pickpocketing,Kovaipudur,11.022583,76.974978,2022-07-31,02:20,2,Kovaipudur PS
217,Kidnapping,Keeranatham,11.090882,76.91751,2022-06-13,10:21,4,Keeranatham PS
218,Cyber Crime,Eachanari,11.050632,76.884144,2022-09-26,04:41,5,Eachanari PS
219,Arson,Gandhipuram,11.081263,76.86759,2022-02-25,01:22,5,Gandhipuram PS
220,Fraud,Singanallur,11.018732,77.070562,2023-07-22,15:33,1,Singanallur PS
221,Burglary,Kurichi,11.060727,76.983436,2022-12-19,14:23,5,Kurichi PS
222,Assault,Ondiputhur,10.99333,76.897499,2023-08-15,14:09,5,Ondiputhur PS
223,Domestic Violence,Sitra,11.056289,77.033128,2023-07-29,02:16,3,Sitra PS
224,Robbery,Periyanaickenpalayam,11.027517,76.906281,2023-06-19,14:17,3,Periyanaickenpalayam PS
225,Robbery,Thennampalayam,10.903378,77.07115,2023-10-30,03:05,3,Thennampalayam PS
226,Traffic Violation,Eachanari,10.953466,76.881712,2023-07-29,23:15,4,Eachanari PS
227,Robbery,Pappanaickenpalayam,11.148087,76.934238,2023-02-08,15:56,3,Pappanaickenpalayam PS
228,Murder,Kalapatti,11.093223,77.085243,2023-02-01,06:09,5,Kalapatti PS
229,Traffic Violation,Sulur,11.091433,76.948219,2023-09-12,06:03,2,Sulur PS
230,Forgery,Peelamedu,10.949969,76.973053,2023-02-06,02:37,3,Peelamedu PS
231,Murder,Townhall,11.006055,76.931724,2023-12-13,00:10,5,Townhall PS
232,Illegal Gambling,Othakalmandapam,11.006545,77.012977,2022-08-31,11:23,3,Othakalmandapam PS
233,Domestic Violence,Keeranatham,11.012058,76.98822,2023-01-16,07:26,4,Keeranatham PS
234,Pickpocketing,Perur,10.946661,76.931533,2022-11-14,06:23,4,Perur PS
235,Assault,Thudiyalur,11.084807,76.940709,2022-07-05,06:11,5,Thudiyalur PS
236,Theft,Race Course,11.126242,76.945876,2023-04-12,12:49,4,Race Course PS
237,Kidnapping,Vadavalli,10.916346,76.884509,2023-12-20,09:10,2,Vadavalli PS
238,Forgery,Kuniamuthur,11.140396,77.08534,2023-05-24,23:32,3,Kuniamuthur PS
239,Cyber Crime,Keeranatham,11.147282,77.024598,2022-05-27,06:55,5,Keeranatham PS
240,Trespassing,RS Puram,11.076606,77.025736,2023-07-15,07:09,2,RS Puram PS
241,Sexual Harassment,Kavundampalayam South,11.06098,77.083687,2022-05-10,13:50,3,Kavundampalayam South PS
242,Forgery,Veerakeralam,11.01158,77.060331,2022-04-08,01:39,3,Veerakeralam PS
243,Arson,Perur,11.025405,77.041976,2024-01-07,13:02,2,Perur PS
244,Vandalism,Sowdambika Nagar,10.931603,77.015582,2022-04-20,15:25,5,Sowdambika Nagar PS
245,Murder,Vadavalli,11.132248,76.860445,2022-03-05,07:52,2,Vadavalli PS
246,Pickpocketing,Thudiyalur,10.95058,77.039977,2022-02-18,01:01,4,Thudiyalur PS
247,Drug Abuse,Pappampatti,11.051708,76.999153,2022-02-20,10:57,3,Pappampatti PS
248,Sexual Harassment,Vadavalli,10.931882,77.013052,2022-09-16,18:34,4,Vadavalli PS
249,Theft,Perur,10.946867,76.993195,2023-03-21,05:46,2,Perur PS
250,Pickpocketing,Mettupalayam,10.971496,77.049336,2022-08-12,18:48,5,Mettupalayam PS
251,Forgery,Idigarai,11.0495,76.88245,2022-07-31,05:32,4,Idigarai PS
252,Vandalism,Ukkadam,10.986158,76.992941,2023-01-10,04:40,5,Ukkadam PS
253,Cyber Crime,Ganapathy,11.107122,76.919678,2022-11-12,03:41,2,Ganapathy PS
254,Sexual Harassment,Ramanathapuram,11.08164,76.913354,2022-11-15,09:01,4,Ramanathapuram PS
255,Murder,Kovaipudur,11.093482,76.89122,2022-05-03,20:21,1,Kovaipudur PS
256,Trespassing,Chinthamanipudur,11.123696,76.986,2023-07-25,05:44,4,Chinthamanipudur PS
257,Illegal Gambling,Pothanur,11.041392,76.899918,2022-06-23,21:47,5,Pothanur PS
258,Murder,Velandipalayam,10.992569,77.022372,2022-05-11,14:36,5,Velandipalayam PS
259,Sexual Harassment,Townhall,10.995302,76.992596,2022-08-26,01:24,1,Townhall PS
260,Pickpocketing,Idikarai East,10.999018,76.945933,2024-01-05,16:41,1,Idikarai East PS
261,Illegal Gambling,Ramanathapuram,10.981112,77.006674,2022-05-26,03:52,2,Ramanathapuram PS
262,Trespassing,Saibaba Colony,11.052975,77.085833,2023-12-15,17:13,4,Saibaba Colony PS
263,Illegal Gambling,Sowdambika Nagar,10.981628,77.01657,2023-05-04,17:25,5,Sowdambika Nagar PS
264,Kidnapping,Eachanari,10.991707,76.882132,2022-07-21,08:19,3,Eachanari PS
265,Trespassing,Thondamuthur,11.036578,76.909939,2023-02-04,21:08,2,Thondamuthur PS
266,Drug Abuse,Kurichi,11.052225,76.858828,2023-08-03,05:07,1,Kurichi PS
267,Illegal Gambling,Sitra,11.015226,76.943133,2023-07-21,05:27,2,Sitra PS
268,Murder,Veerakeralam,10.940338,76.873421,2023-01-23,05:56,4,Veerakeralam PS
269,Forgery,Ondipudur,11.063879,76.907278,2022-06-29,00:37,5,Ondipudur PS
270,Forgery,Peelamedu,11.091204,77.049147,2022-01-02,23:51,4,Peelamedu PS
271,Murder,Podanur,10.903553,76.869354,2022-10-03,01:50,3,Podanur PS
272,Sexual Harassment,Thudiyalur,11.076142,77.055998,2024-01-26,04:42,1,Thudiyalur PS
273,Vandalism,Pothanur,11.145814,77.008238,2022-11-12,15:18,1,Pothanur PS
274,Kidnapping,Puliakulam,11.148283,77.089505,2024-02-08,12:48,3,Puliakulam PS
275,Theft,Annur,11.107037,77.052607,2023-07-21,03:46,3,Annur PS
276,Cyber Crime,Sowdambika Nagar,11.082232,76.905324,2022-05-11,22:52,4,Sowdambika Nagar PS
277,Murder,Vadavalli East,11.075948,77.023244,2022-02-17,16:33,3,Vadavalli East PS
278,Traffic Violation,Vellalore,11.063616,76.913626,2023-05-06,12:24,3,Vellalore PS
279,Kidnapping,RS Puram,10.944622,76.865846,2024-02-06,11:33,2,RS Puram PS
280,Domestic Violence,Veerakeralam,11.030972,76.959096,2022-10-07,09:56,4,Veerakeralam PS
281,Bribery,Somanur,11.126817,76.936581,2022-03-11,05:12,3,Somanur PS
282,Burglary,Perur,10.990786,76.91134,2023-05-15,13:49,5,Perur PS
283,Arson,Karamadai,11.013434,76.912772,2022-05-14,02:39,1,Karamadai PS
284,Pickpocketing,Sulur,10.903593,77.096306,2022-03-27,01:27,2,Sulur PS
285,Fraud,Race Course,10.96212,76.875319,2023-01-05,17:20,2,Race Course PS
286,Traffic Violation,Nehru Nagar,10.953237,76.937607,2022-07-09,08:41,2,Nehru Nagar PS
287,Fraud,Kovilpalayam,10.972263,76.990467,2022-12-26,13:25,3,Kovilpalayam PS
